docidx	widx
0	189
0	227
0	369
0	369
0	369
0	1167
0	1449
0	2002
0	2063
0	2064
0	2064
0	2064
0	2103
0	2319
0	2487
0	3309
0	3330
0	3330
0	3330
0	3347
0	3347
0	3399
0	3488
0	3578
0	3630
0	3968
0	4569
0	4569
0	4569
0	4791
0	4851
0	4968
0	4969
0	5156
0	5369
0	5706
0	5854
0	5958
0	6007
0	6007
0	6125
0	6218
0	6218
0	6424
0	6585
1	488
1	488
1	488
1	491
1	491
1	491
1	491
1	547
1	547
1	547
1	547
1	548
1	811
1	1809
1	1809
1	1929
1	1929
1	2103
1	2403
1	2495
1	2577
1	3117
1	3382
1	3382
1	3382
1	3382
1	3384
1	3384
1	3384
1	3384
1	3812
1	3875
1	3876
1	3877
1	4199
1	4199
1	4260
1	4277
1	4295
1	4295
1	4370
1	4605
1	4655
1	4674
1	4957
1	4957
1	5113
1	5505
1	5505
1	5505
1	5505
1	5505
1	5505
1	5505
1	5505
1	5507
1	5591
1	5736
1	6165
2	296
2	296
2	409
2	409
2	559
2	566
2	1157
2	1339
2	1339
2	1783
2	2159
2	2411
2	2435
2	2681
2	3201
2	3390
2	3390
2	3390
2	3390
2	3390
2	3487
2	3535
2	3535
2	3860
2	3860
2	3860
2	3860
2	3860
2	3860
2	3860
2	3860
2	3860
2	3874
2	4053
2	4490
2	4671
2	4696
2	4719
2	4810
2	5153
2	5692
2	5692
2	5692
2	5692
2	5693
2	5869
2	5929
2	6158
3	48
3	65
3	65
3	65
3	1111
3	1952
3	1952
3	2072
3	2435
3	2679
3	3486
3	4196
3	4641
3	4996
3	4996
3	4996
3	5174
3	5481
3	5692
3	5845
3	6087
3	6087
3	6087
3	6175
3	6175
3	6175
3	6673
4	12
4	573
4	573
4	573
4	573
4	690
4	811
4	1201
4	1201
4	1717
4	1719
4	1719
4	2364
4	2577
4	2704
4	2736
4	2736
4	2743
4	3128
4	3788
4	3815
4	3875
4	3968
4	4135
4	4579
4	4918
4	4927
4	5152
4	5237
4	5554
